SemanticEntity,ExpressionName,Implementation,Context
agingcube_net,Amount for 90+ Days 2,SUM(Amount) where AgingBucket equals exactly 90+ Days.,Measure and visual-level aggregate filter.
agingcube_net,Amount for 61-90 Days or 90+ Days,SUM(Amount) where AgingBucket equals exactly 61-90 Days plus SUM where it equals exactly 90+ Days.,Measure.
agingcube_net,Amount for 31+ Days,"SUM(Amount) for exact buckets 31-60 Days, 61-90 Days, and 90+ Days.",Measure.
agingcube_net_30daysplus,Amount for 31 Plus Days,"SUM(Amount) for exact buckets 31-60 Days, 61-90 Days, and 90+ Days.",Measure and visual-level aggregate filter.
collection_function,Paid Ratio,"-DIVIDE(SUM(Post Paid), SUM(Balance), 0), displayed as a percentage.",Measure.
model_metrics,Metrics_ROC,"ROC_AUC Precision text using ROUND(MAX(metric_value filtered to ROC_AUC),4)*100.",Measure.
model_metrics,Metrics_Accuracy,"Exact model-description text plus ROUND(MAX(metric_value filtered to ROC_AUC),4)*100%.",Measure.
model_metrics_resid,Metrics_Accuracy_Resid,"Exact model-description text plus ROUND(MAX(metric_value filtered to F1_Score),4)*100%.",Measure.
ns_daily_ebnotes,E-Bill %,100 × distinct year/month/AccountID rows divided by SUM(ns_total_bills_monthly[bills]) for the axis month.,Measure with cross-table month context.
mitel,Long Call Flag,Longer Call when Long Calls = 1; otherwise empty string.,Calculated column.
mitel / mitel_dynamics,Duration_Time,Convert HH:MM:SS Duration to total minutes.,Calculated column averaged by visuals.
ml_metrics,metrics,"Exact Prophet model text with LEFT(ROUND(R2*100,2),5) and RunDateTime.",Calculated column.
ns_daily_ebnotes / ns_total_bills_monthly,Month keys,YYYY-MM text keys and numeric year*100+month Bill Month Key.,Calculated columns and relationship.
